
╔═══════════════════════════════════════════════════════════════╗
║     CHAMPION ULTIMATE - REALTIME BACKTESTER                 ║
║     Strategy: CHAMPION_ULTIMATE | 93 tokens                 ║
║     Start: 1000 USDT | WebSocket ready                      ║
╚═══════════════════════════════════════════════════════════════╝
    
[LOAD] Stan załadowany: 54 swapów
[CONFIG] Strategy: L3 T0% I1s
[CONFIG] Update interval: 1.0s

 * Serving Flask app 'backend'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:12000
 * Running on http://10.2.56.187:12000
Press CTRL+C to quit
127.0.0.1 - - [19/Jul/2026 15:27:08] "POST /api/control HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 15:29:14] "GET /api/export HTTP/1.1" 200 -
[INIT] Portfolio zainicjalizowane: 1000.0 USDT
[INIT] Baseline prices: 93 tokenów
[INIT] BTC price: $64544.65
[INIT] BTC amount: 0.01549315
[SWAP] BTC -> AGLD | spread: 0.134%/0.134% | 0.0155 -> 6674.6833 | $1000.00 -> $999.20
[SWAP] AGLD -> ARB | spread: 0.067%/0.067% | 6674.6833 -> 11078.5224 | $997.87 -> $997.07
[SWAP] ARB -> ADA | spread: 0.060%/0.060% | 11078.5224 -> 5990.6795 | $995.85 -> $995.05
[SWAP] ADA -> TIA | spread: 0.084%/0.084% | 5990.6795 -> 2788.0398 | $994.45 -> $993.66
[SWAP] TIA -> SLP | spread: 0.125%/0.125% | 2788.0398 -> 1775598.4889 | $992.82 -> $992.03
[SWAP] SLP -> SFP | spread: 0.093%/0.093% | 1775598.4889 -> 4591.7973 | $990.78 -> $989.99
[SWAP] SFP -> CRO | spread: 0.188%/0.188% | 4591.7973 -> 16851.3002 | $988.61 -> $987.82
[SWAP] CRO -> ZEC | spread: 0.013%/0.013% | 16851.3002 -> 1.7792 | $985.97 -> $985.18
[SWAP] ZEC -> ARB | spread: 0.144%/0.144% | 1.7792 -> 10934.9343 | $984.93 -> $984.14
[SWAP] ARB -> ZEC | spread: 0.023%/0.023% | 10934.9343 -> 1.7741 | $982.72 -> $981.94
[SWAP] ZEC -> GALA | spread: 0.049%/0.049% | 1.7741 -> 478575.7175 | $981.87 -> $981.08
[SWAP] GALA -> CRO | spread: 0.171%/0.171% | 478575.7175 -> 16717.5793 | $980.60 -> $979.82
[SWAP] CRO -> ARB | spread: 0.111%/0.111% | 16717.5793 -> 10869.2527 | $978.15 -> $977.36
[SWAP] ARB -> ZEC | spread: 0.002%/0.002% | 10869.2527 -> 1.7632 | $976.06 -> $975.28
[SWAP] ZEC -> ATOM | spread: 0.067%/0.067% | 1.7632 -> 655.3332 | $975.26 -> $974.48
