timestamp,AAVEUSDT_BID,AAVEUSDT_ASK,ADAUSDT_BID,ADAUSDT_ASK,ALGOUSDT_BID,ALGOUSDT_ASK,APTUSDT_BID,APTUSDT_ASK,ATOMUSDT_BID,ATOMUSDT_ASK,AVAXUSDT_BID,AVAXUSDT_ASK,AXSUSDT_BID,AXSUSDT_ASK,BATUSDT_BID,BATUSDT_ASK,BNBUSDT_BID,BNBUSDT_ASK,BTCUSDT_BID,BTCUSDT_ASK,CHZUSDT_BID,CHZUSDT_ASK,CRVUSDT_BID,CRVUSDT_ASK,DOGEUSDT_BID,DOGEUSDT_ASK,DOTUSDT_BID,DOTUSDT_ASK,ENJUSDT_BID,ENJUSDT_ASK,ETHUSDT_BID,ETHUSDT_ASK,FILUSDT_BID,FILUSDT_ASK,HBARUSDT_BID,HBARUSDT_ASK,ICPUSDT_BID,ICPUSDT_ASK,INJUSDT_BID,INJUSDT_ASK,KAVAUSDT_BID,KAVAUSDT_ASK,LINKUSDT_BID,LINKUSDT_ASK,LRCUSDT_BID,LRCUSDT_ASK,LTCUSDT_BID,LTCUSDT_ASK,MANAUSDT_BID,MANAUSDT_ASK,NEARUSDT_BID,NEARUSDT_ASK,OPUSDT_BID,OPUSDT_ASK,SANDUSDT_BID,SANDUSDT_ASK,SEIUSDT_BID,SEIUSDT_ASK,SNXUSDT_BID,SNXUSDT_ASK,SOLUSDT_BID,SOLUSDT_ASK,SUIUSDT_BID,SUIUSDT_ASK,UNIUSDT_BID,UNIUSDT_ASK,VETUSDT_BID,VETUSDT_ASK,XLMUSDT_BID,XLMUSDT_ASK,XRPUSDT_BID,XRPUSDT_ASK,ZECUSDT_BID,ZECUSDT_ASK,ZILUSDT_BID,ZILUSDT_ASK
1753599600,295.6,296.64,0.8251,0.8283,0.2875,0.2903,4.835,4.849,4.798,4.815,25.06,25.17,2.617,2.632,0.1637,0.1642,794.99,796.22,118113.0,118263.44,0.04293,0.0431,1.0819,1.0981,0.2378,0.23891,4.165,4.18,0.08014,0.08075,3766.85,3778.37,2.697,2.705,0.29248,0.29618,5.725,5.741,15.19,15.25,0.4011,0.4017,18.74,18.83,0.09214,0.0926,114.83,115.43,0.321,0.323,2.907,2.921,0.731,0.736,0.3169,0.3188,0.3416,0.3433,0.6539,0.66,186.62,187.51,4.2202,4.2476,10.606,10.645,0.0261,0.02627,0.4449,0.4476,3.1935,3.2043,41.54,41.68,0.01225,0.01234
1753600500,296.13,296.73,0.8256,0.8289,0.2865,0.2884,4.836,4.85,4.803,4.82,25.03,25.11,2.621,2.63,0.164,0.1646,795.93,796.88,118113.0,118195.29,0.04301,0.04313,1.0824,1.0967,0.238,0.23899,4.163,4.178,0.08033,0.08067,3774.31,3782.91,2.697,2.708,0.29031,0.29304,5.72,5.736,15.19,15.25,0.4009,0.4018,18.78,18.86,0.09233,0.09268,114.81,115.24,0.3212,0.3224,2.91,2.921,0.73,0.735,0.3167,0.3182,0.3407,0.3426,0.6574,0.6601,187.09,187.72,4.2173,4.2454,10.602,10.642,0.02612,0.02625,0.4437,0.446,3.1973,3.2042,41.58,41.72,0.01225,0.01236
1753601400,295.83,296.46,0.824,0.8266,0.285,0.2875,4.827,4.837,4.791,4.806,24.97,25.05,2.616,2.628,0.1641,0.1646,795.89,797.23,118121.88,118175.58,0.04291,0.04306,1.0798,1.0911,0.23716,0.23825,4.161,4.172,0.08013,0.08044,3771.51,3776.96,2.691,2.699,0.28813,0.29106,5.703,5.724,15.2,15.25,0.4009,0.4018,18.74,18.83,0.09214,0.09246,114.25,114.82,0.3204,0.3215,2.902,2.915,0.728,0.732,0.3163,0.3175,0.3401,0.3425,0.6564,0.6589,187.38,187.85,4.2114,4.2277,10.574,10.613,0.02603,0.02614,0.4419,0.4442,3.1893,3.1987,41.52,41.71,0.01229,0.01236
1753602300,295.25,296.23,0.8221,0.8256,0.2843,0.2857,4.814,4.834,4.787,4.8,24.94,25.04,2.612,2.622,0.164,0.1647,796.11,797.88,118066.73,118165.55,0.04288,0.043,1.0838,1.0902,0.23627,0.23775,4.152,4.168,0.08,0.08043,3763.0,3775.61,2.688,2.698,0.28829,0.29053,5.689,5.712,15.21,15.3,0.4008,0.4018,18.74,18.83,0.09197,0.09228,114.05,114.43,0.3197,0.3212,2.898,2.911,0.724,0.729,0.316,0.3169,0.3415,0.343,0.6544,0.6579,187.08,187.88,4.2058,4.2188,10.542,10.589,0.02595,0.02609,0.4414,0.4444,3.1848,3.1949,41.42,41.59,0.01229,0.01233
1753603200,295.56,296.2,0.8218,0.8245,0.2838,0.2861,4.816,4.831,4.793,4.808,24.97,25.05,2.613,2.628,0.1641,0.1646,795.45,796.55,118016.45,118129.77,0.04288,0.04305,1.0841,1.0907,0.23654,0.23733,4.154,4.169,0.08013,0.08037,3765.42,3773.15,2.689,2.699,0.2864,0.29114,5.693,5.711,15.18,15.27,0.4007,0.4019,18.73,18.81,0.09224,0.09269,114.16,114.41,0.3198,0.3216,2.903,2.914,0.725,0.728,0.3164,0.3177,0.3406,0.3431,0.6544,0.6572,186.96,187.52,4.2124,4.2318,10.547,10.585,0.02595,0.0261,0.4406,0.443,3.1838,3.1925,41.49,41.62,0.01229,0.01232
1753604100,295.2,296.18,0.8184,0.8228,0.2817,0.2844,4.802,4.823,4.774,4.796,24.95,25.05,2.6,2.615,0.1634,0.1643,794.58,796.63,117981.25,118102.86,0.0428,0.04294,1.079,1.0942,0.2354,0.23707,4.147,4.162,0.0799,0.08029,3766.73,3775.61,2.679,2.693,0.285,0.28712,5.681,5.705,15.13,15.21,0.4004,0.4011,18.68,18.77,0.09206,0.09253,113.55,114.35,0.3188,0.3202,2.893,2.909,0.722,0.727,0.3149,0.3169,0.3388,0.3416,0.653,0.6569,186.48,187.17,4.2131,4.2373,10.533,10.566,0.02585,0.026,0.4387,0.4415,3.1778,3.1875,41.52,41.6,0.01167,0.01232
1753605000,294.66,296.57,0.8172,0.8203,0.2804,0.2823,4.787,4.806,4.767,4.777,24.88,24.98,2.596,2.606,0.1634,0.1638,793.48,797.0,117962.96,118049.29,0.04267,0.04283,1.068,1.0812,0.23506,0.23632,4.136,4.149,0.07963,0.07997,3764.82,3771.68,2.675,2.685,0.2839,0.28633,5.664,5.692,15.11,15.22,0.3993,0.401,18.63,18.71,0.09183,0.09219,113.34,113.69,0.3185,0.3193,2.89,2.902,0.721,0.725,0.3142,0.3155,0.3372,0.3391,0.6507,0.6539,186.24,186.69,4.196,4.2345,10.502,10.543,0.02575,0.02589,0.4371,0.4391,3.1724,3.1849,41.32,41.59,0.01215,0.01226
1753605900,296.4,296.86,0.8186,0.8206,0.2808,0.2828,4.788,4.804,4.772,4.783,24.89,24.97,2.599,2.608,0.1634,0.1641,796.64,798.0,117950.45,118064.74,0.04273,0.04288,1.0737,1.08,0.23565,0.23667,4.135,4.151,0.07984,0.08008,3769.82,3774.95,2.682,2.691,0.28474,0.28755,5.676,5.695,15.15,15.24,0.3991,0.3998,18.68,18.73,0.09191,0.09222,112.93,113.66,0.3186,0.3194,2.9,2.912,0.722,0.727,0.3149,0.3159,0.3383,0.3395,0.6527,0.6548,186.5,186.93,4.215,4.2463,10.51,10.54,0.02579,0.02588,0.4385,0.4403,3.1791,3.1872,41.43,41.58,0.01223,0.01228
1753606800,295.69,296.51,0.8181,0.8209,0.2804,0.2821,4.785,4.799,4.763,4.777,24.8,24.92,2.592,2.603,0.1637,0.1641,795.83,797.82,117865.2,117999.91,0.0427,0.04283,1.0682,1.076,0.23546,0.23622,4.13,4.142,0.07964,0.07993,3766.69,3774.0,2.68,2.687,0.28426,0.28704,5.663,5.677,15.14,15.2,0.3981,0.3992,18.64,18.71,0.09174,0.09209,112.38,113.16,0.3184,0.3191,2.896,2.905,0.72,0.723,0.3147,0.3157,0.3371,0.3388,0.6526,0.6548,186.52,187.32,4.2045,4.22,10.496,10.527,0.0257,0.02585,0.4372,0.4393,3.177,3.1904,41.25,41.48,0.01222,0.01227
1753607700,295.4,295.94,0.8181,0.8203,0.2795,0.2806,4.776,4.788,4.76,4.766,24.79,24.86,2.588,2.595,0.1632,0.1638,795.39,796.27,117887.21,117943.94,0.04261,0.04274,1.0678,1.0719,0.23523,0.23576,4.122,4.135,0.07944,0.07966,3767.43,3772.26,2.678,2.683,0.28282,0.2854,5.657,5.675,15.11,15.18,0.398,0.3986,18.62,18.67,0.09172,0.09189,112.84,113.04,0.3178,0.3187,2.889,2.899,0.72,0.722,0.3142,0.3149,0.3363,0.3377,0.6519,0.6539,186.84,187.24,4.1922,4.216,10.486,10.515,0.02563,0.02571,0.437,0.4382,3.1786,3.1863,41.27,41.35,0.01218,0.01225
