timestamp,ADAUSDT_BID,ADAUSDT_ASK,AVAXUSDT_BID,AVAXUSDT_ASK,BTCUSDT_BID,BTCUSDT_ASK,DOGEUSDT_BID,DOGEUSDT_ASK,DOTUSDT_BID,DOTUSDT_ASK,ETHUSDT_BID,ETHUSDT_ASK,LINKUSDT_BID,LINKUSDT_ASK,LTCUSDT_BID,LTCUSDT_ASK,SOLUSDT_BID,SOLUSDT_ASK,XRPUSDT_BID,XRPUSDT_ASK
1784254500,0.1595,0.1603,6.469,6.489,63510.29,63658.51,0.07201,0.07223,0.8579,0.8656,1848.91,1855.64,8.272,8.309,44.87,44.99,75.07,75.27,1.0869,1.091
1784255400,0.1593,0.1601,6.458,6.489,63415.65,63579.38,0.07189,0.07207,0.8538,0.8599,1843.6,1852.28,8.258,8.282,44.83,44.93,74.75,75.15,1.0862,1.0887
1784256300,0.1594,0.1599,6.459,6.48,63396.32,63499.59,0.07191,0.0721,0.8531,0.8563,1844.0,1848.64,8.26,8.274,44.85,45.02,74.83,75.02,1.0857,1.0885
1784257200,0.1597,0.1606,6.477,6.521,63484.7,63666.65,0.07208,0.07243,0.8544,0.8617,1847.17,1854.73,8.269,8.301,45.0,45.75,74.99,75.29,1.0879,1.0918
1784258100,0.1604,0.1614,6.52,6.553,63622.42,63724.68,0.07235,0.07264,0.8613,0.8664,1853.35,1859.72,8.294,8.332,45.52,45.88,75.21,75.46,1.0911,1.0948
1784259000,0.1606,0.1612,6.533,6.545,63612.27,63704.06,0.07245,0.0726,0.8605,0.8636,1854.29,1858.78,8.301,8.324,45.65,45.83,75.25,75.41,1.0929,1.0948
1784259900,0.1602,0.1608,6.526,6.534,63534.89,63633.63,0.07238,0.07253,0.8594,0.8615,1851.29,1855.35,8.281,8.302,45.49,45.68,75.17,75.31,1.091,1.0934
1784260800,0.1598,0.1603,6.505,6.529,63500.0,63579.61,0.07225,0.07244,0.8573,0.8598,1849.57,1852.86,8.265,8.281,45.39,45.72,75.07,75.23,1.0911,1.0927
1784261700,0.1595,0.1603,6.486,6.516,63337.03,63538.27,0.07202,0.07232,0.8566,0.8602,1844.0,1851.45,8.247,8.276,45.25,45.45,74.75,75.15,1.0875,1.092
1784262600,0.1596,0.1603,6.497,6.516,63339.29,63491.79,0.07206,0.07234,0.8562,0.8597,1844.02,1850.29,8.257,8.291,45.27,45.44,74.88,75.17,1.088,1.0905
1784263500,0.1602,0.1608,6.516,6.532,63480.37,63576.81,0.07226,0.07246,0.8593,0.8619,1848.61,1852.97,8.288,8.304,45.42,45.57,75.12,75.34,1.0901,1.0924
1784264400,0.1598,0.1603,6.504,6.523,63376.52,63492.07,0.0721,0.0723,0.8564,0.8593,1844.64,1850.32,8.272,8.296,45.44,45.6,75.06,75.25,1.0887,1.0904
1784265300,0.1594,0.1602,6.489,6.524,63203.22,63439.86,0.07196,0.07229,0.8544,0.8595,1837.0,1848.64,8.249,8.296,45.44,45.64,74.82,75.19,1.0856,1.0903
1784266200,0.1587,0.1596,6.481,6.495,62985.0,63231.61,0.0718,0.07203,0.8495,0.8553,1831.52,1839.93,8.224,8.258,45.2,45.45,74.64,74.91,1.083,1.0864
1784267100,0.1579,0.159,6.443,6.491,62809.51,62989.27,0.07145,0.07183,0.8443,0.8511,1821.9,1832.84,8.174,8.235,45.1,45.28,74.3,74.72,1.0795,1.0844
1784268000,0.158,0.1588,6.446,6.484,62777.76,62990.36,0.07144,0.0718,0.8448,0.8477,1821.0,1830.38,8.157,8.199,44.88,45.14,74.32,74.65,1.0794,1.084
1784268900,0.1584,0.1592,6.469,6.496,62724.16,62942.39,0.07154,0.07191,0.8466,0.8512,1825.79,1834.96,8.182,8.214,44.99,45.22,74.46,74.75,1.0814,1.0865
1784269800,0.159,0.1594,6.491,6.504,62868.98,62961.2,0.07185,0.07198,0.8491,0.8512,1831.96,1836.5,8.189,8.214,45.06,45.14,74.59,74.74,1.0852,1.0877
1784270700,0.1587,0.1592,6.488,6.5,62861.88,62944.43,0.07175,0.0719,0.8492,0.8514,1830.13,1832.93,8.178,8.194,44.83,45.13,74.5,74.62,1.0852,1.0873
1784271600,0.159,0.1592,6.484,6.499,62879.44,62947.58,0.07176,0.07191,0.8512,0.855,1829.21,1832.8,8.176,8.188,44.88,44.99,74.51,74.62,1.0844,1.0873
1784272500,0.1588,0.1592,6.47,6.487,62812.77,62937.19,0.07165,0.07178,0.851,0.8574,1827.21,1832.16,8.172,8.192,44.75,44.94,74.42,74.58,1.0823,1.0856
1784273400,0.1588,0.1593,6.467,6.489,62881.19,62982.6,0.0716,0.0718,0.8493,0.853,1826.15,1833.62,8.166,8.195,44.73,44.86,74.46,74.72,1.0824,1.0853
1784274300,0.1588,0.1592,6.474,6.486,62826.8,62966.47,0.07166,0.07186,0.8495,0.8514,1827.3,1831.34,8.171,8.189,44.76,44.85,74.59,74.75,1.0827,1.0852
1784275200,0.1587,0.1591,6.472,6.48,62786.88,62894.72,0.07163,0.07178,0.8483,0.8518,1828.0,1831.11,8.167,8.187,44.47,44.77,74.53,74.7,1.0828,1.0851
1784276100,0.1586,0.1593,6.449,6.478,62741.73,62899.3,0.0713,0.07172,0.8467,0.8514,1824.15,1830.44,8.149,8.185,44.28,44.57,74.35,74.65,1.0811,1.0851
